INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'OZAPRAL 30mg | 50mg', 'Ex quis do sint occaecat ut quis ut consequat tempor ad magna commodo deserunt sit.', 'Eu id incididunt sunt id cillum et reprehenderit minim ad voluptate excepteur. Esse consectetur laboris deserunt exercitation sint magna ut. Officia et non sint proident consectetur mollit amet anim proident laboris ullamco. Irure nostrud eu anim magna veniam qui voluptate anim. Ullamco ullamco magna commodo dolore laboris nisi quis enim aute. Quis adipisicing adipisicing nisi consectetur. Tempor et anim ipsum magna dolor eiusmod.','1 240 Fcfa', 'CP - Comprimé','assets/image/pro16.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'PEDIAKID NEZ-GORGE', 'Dégage les voies respiratoires - 125 ou 250ml', 'Laboris culpa dolore non aute aliqua exercitation amet officia laborum laborum sunt. Enim consectetur aliqua voluptate culpa do ipsum irure sint deserunt in non aliqua ad sit. Mollit ullamco amet do eiusmod sunt minim magna et. Do enim consectetur consectetur aute irure tempor eu minim ad sunt tempor irure. Minim voluptate commodo excepteur dolore sit.','1 950 Fcfa', 'BUV - Buvable','assets/image/pro3.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'Doctissimo TOTHEMA', 'Solution buvable boîte de 20 ampoules de 10 ml', 'Adipisicing adipisicing eu consequat exercitation. Dolore nostrud culpa ad adipisicing ipsum. Quis ut occaecat ullamco laborum nisi in veniam sunt esse laborum ipsum ullamco id. Excepteur veniam fugiat mollit veniam nulla cillum fugiat aliquip ea.','22 775 Fcfa', 'Si - sirop','assets/image/pro7.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'BIMALARIL 20 | 40', 'Incididunt labore ex officia ipsum cillum sunt esse.', 'Reprehenderit deserunt mollit ipsum excepteur. Sint consequat velit magna veniam ad. Officia ea quis id est non occaecat consectetur voluptate voluptate nulla adipisicing dolore tempor. Dolor ullamco reprehenderit exercitation aute et cillum ullamco dolore laborum commodo laboris do laborum do. Aute ut duis magna adipisicing nostrud anim incididunt nulla mollit Lorem irure.','993', 'BUV - Buvable','assets/image/pro4.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'HO-WARIA', 'Elit laboris consequat occaecat labore dolor in.', 'Irure elit sit elit esse magna ut magna est nisi laborum commodo commodo culpa ad. Consectetur ipsum sint duis officia voluptate laboris incididunt exercitation labore irure Lorem. Id dolore tempor Lorem eiusmod duis eu. Anim in enim id id dolore.','3 812 Fcfa', 'COM - Comprimé','assets/image/pro6.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'TERMO LAZER', 'Duis magna sint Lorem ullamco minim velit veniam enim non minim ullamco ad veniam.', 'Ipsum voluptate nisi cupidatat officia ad adipisicing id eiusmod. Ullamco Lorem quis duis anim ad ad fugiat cupidatat nisi ex est ipsum adipisicing. Minim eu irure duis id excepteur in elit adipisicing aliquip do proident. Adipisicing ipsum commodo in aliqua incididunt ex reprehenderit elit aute est fugiat fugiat est dolore. Consectetur sint fugiat veniam consequat eu sunt magna qui id in exercitation. Lorem Lorem et aute duis elit consectetur. Consectetur esse consequat dolore voluptate.','2 000 Fcfa', 'appareil electronique','assets/image/pro5.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'ADRIDE M CP 2mg', 'Ex ex ut amet aliqua excepteur id voluptate laboris commodo ut laborum.', 'Commodo culpa fugiat veniam sunt duis occaecat proident dolor sit id mollit quis laborum. Excepteur enim pariatur Lorem id non commodo laborum ea laborum minim ex eu tempor magna. Pariatur ea velit aliquip ullamco minim magna irure laboris sunt eiusmod excepteur. Officia exercitation magna nostrud qui consectetur aute non dolore. Sit qui excepteur sint sint.','3 042 Fcfa', 'CP - Comprimé','assets/image/pro8.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'ERYFLUID LOTION 4% F/10ML ARF', 'Consectetur incididunt deserunt fugiat elit consectetur sit nisi aute quis nisi labore in laborum.', 'Aliqua irure velit deserunt dolor fugiat elit cillum est occaecat dolor amet esse dolore. Ex minim amet pariatur fugiat pariatur id eu aliqua elit nisi. Deserunt fugiat do adipisicing qui proident. Laborum non ad excepteur duis fugiat irure cillum consectetur ut. Fugiat tempor laboris sint est aliqua deserunt ea eu. Lorem Lorem laboris ullamco nostrud sint esse. Consequat pariatur proident occaecat tempor ad mollit nostrud.','4 552 Fcfa', 'SOL - Solution','assets/image/pro9.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'CACHE NEZ - ORZ', 'Do eu minim pariatur dolor enim amet esse consectetur cupidatat fugiat dolor excepteur ullamco.', 'Veniam sint nostrud cupidatat est mollit cupidatat. Magna aute amet officia laboris consequat cillum aliqua voluptate minim. Ut mollit ex pariatur anim Lorem ex consequat sunt. Non amet officia est do minim laboris laborum magna veniam est dolore mollit culpa reprehenderit. Minim eu qui nulla labore ullamco culpa pariatur consectetur qui minim laboris cillum eu. Sint culpa nostrud deserunt consectetur excepteur adipisicing dolore. Et laborum Lorem cillum do cupidatat et ut in officia est ipsum sit irure consequat.','150 Fcfa', 'MAS - Masque','assets/image/pro10.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'EFFERALGAN PARACETAMOL 250mg', 'Ea veniam ipsum amet nisi occaecat mollit duis.', 'Veniam aute quis quis voluptate magna nulla consectetur consectetur irure. Consequat amet excepteur magna amet incididunt ex duis ea aliquip do veniam ea laborum. Cillum fugiat deserunt proident commodo. In non exercitation qui minim consectetur sint. Ut ad mollit commodo non labore proident sunt aliquip voluptate aute. Commodo in fugiat ex ad.','1 500 Fcfa', 'BUV - Buvable','assets/image/pro11.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'EFFERALGAN MED 30mg/ml', 'Adipisicing ut officia sit veniam cupidatat commodo sint nostrud nisi cillum pariatur nulla.', 'Dolor mollit cupidatat velit nisi nisi Lorem. Voluptate enim est anim laborum sit dolore amet sit mollit. Laborum esse aliqua proident non sit aute fugiat nostrud do ullamco mollit occaecat ex. Aute aliquip pariatur fugiat anim. Ea nisi laborum deserunt excepteur amet commodo elit commodo minim consectetur consequat ipsum duis occaecat.','1 700 Fcfa', 'B - Boite','assets/image/pro12.PNG', '0', '0', '0');
